amount_paise,content_hash,metadata,node_type,occurred_at,order_id,processed_at,received_at,reference_id,settlement_ref,source,timestamp
301471,bd678e945d853674,{},bank,2024-06-03T16:57:01+00:00,ORD_000014_d5a804eb,2024-06-03T16:58:31+00:00,2024-06-03T16:57:31+00:00,BNK_8f54c7b5b2bc,,bank_statement,2024-06-03T16:57:01+00:00
99246,f3ec306fc89bc423,{},bank,2024-06-02T13:51:21+00:00,ORD_000007_7914c120,2024-06-02T13:52:51+00:00,2024-06-02T13:51:51+00:00,BNK_dc96ccf3a171,,bank_statement,2024-06-02T13:51:21+00:00
14612,0d2f066c7fd4ba82,{},bank,2024-06-02T17:09:41+00:00,ORD_000000_a3b1799d,2024-06-02T17:11:11+00:00,2024-06-02T17:10:11+00:00,BNK_06cb9a1de644,,bank_statement,2024-06-02T17:09:41+00:00
154534,997566dfeae235e7,"{'split_index': 0, 'n_splits': 3}",bank,2024-06-04T04:01:40+00:00,ORD_000022_8573e793,2024-06-04T04:03:10+00:00,2024-06-04T04:02:10+00:00,BNK_b20df2311f17,,bank_statement,2024-06-04T04:01:40+00:00
106045,7aa1d42bb41b7de9,"{'split_index': 1, 'n_splits': 3}",bank,2024-06-04T04:01:40+00:00,ORD_000022_8573e793,2024-06-04T04:03:10+00:00,2024-06-04T04:02:10+00:00,BNK_7a1b6160a6b4,,bank_statement,2024-06-04T04:01:40+00:00
360333,e29137107bd9d5a6,"{'split_index': 2, 'n_splits': 3}",bank,2024-06-03T10:01:40+00:00,ORD_000022_8573e793,2024-06-03T10:03:10+00:00,2024-06-03T10:02:10+00:00,BNK_5a0cf1578470,,bank_statement,2024-06-03T10:01:40+00:00
443774,bc24fa3a62380121,{},bank,2024-06-05T12:25:29+00:00,ORD_000037_bf0d073d,2024-06-05T12:26:59+00:00,2024-06-05T12:25:59+00:00,BNK_dd817d5911c6,,bank_statement,2024-06-05T12:25:29+00:00
203453,2e841ee32d04107f,{},bank,2024-06-02T18:00:11+00:00,ORD_000017_6fb78271,2024-06-02T18:01:41+00:00,2024-06-02T18:00:41+00:00,BNK_11e96e6981a3,,bank_statement,2024-06-02T18:00:11+00:00
324566,6ad00c4aa40b4011,{},bank,2024-06-04T16:15:41+00:00,ORD_000040_118405ad,2024-06-04T16:17:11+00:00,2024-06-04T16:16:11+00:00,BNK_530a0bc61066,,bank_statement,2024-06-04T16:15:41+00:00
93895,4a1c8b889692addc,"{'split_index': 0, 'n_splits': 3}",bank,2024-06-03T04:21:36+00:00,ORD_000001_6b65a6a4,2024-06-03T04:23:06+00:00,2024-06-03T04:22:06+00:00,BNK_ec1bf91e1d4c,,bank_statement,2024-06-03T04:21:36+00:00
83560,6f5304597e425cc7,"{'split_index': 1, 'n_splits': 3}",bank,2024-06-03T03:21:36+00:00,ORD_000001_6b65a6a4,2024-06-03T03:23:06+00:00,2024-06-03T03:22:06+00:00,BNK_4b0d8d5288f1,,bank_statement,2024-06-03T03:21:36+00:00
175063,ef78973c7739f47e,"{'split_index': 2, 'n_splits': 3}",bank,2024-06-03T21:21:36+00:00,ORD_000001_6b65a6a4,2024-06-03T21:23:06+00:00,2024-06-03T21:22:06+00:00,BNK_e2ac9e574f7a,,bank_statement,2024-06-03T21:21:36+00:00
334047,e944b0757614ef91,{},bank,2024-06-02T08:33:24+00:00,ORD_000013_0d01280f,2024-06-02T08:34:54+00:00,2024-06-02T08:33:54+00:00,BNK_f1ee13432e61,,bank_statement,2024-06-02T08:33:24+00:00
346556,811fbb78a2ab30ef,{},bank,2024-06-05T17:41:02+00:00,ORD_000052_8fc42092,2024-06-05T17:42:32+00:00,2024-06-05T17:41:32+00:00,BNK_39687b70c3b8,,bank_statement,2024-06-16T10:00:00+00:00
119880,44d84ea94de7a8a4,"{'split_index': 0, 'n_splits': 2}",bank,2024-06-05T06:04:57+00:00,ORD_000057_38b8f24e,2024-06-05T06:06:27+00:00,2024-06-05T06:05:27+00:00,BNK_2c6a328067a1,,bank_statement,2024-06-05T06:04:57+00:00
282864,1656c97d0467fb2d,"{'split_index': 1, 'n_splits': 2}",bank,2024-06-05T17:04:57+00:00,ORD_000057_38b8f24e,2024-06-05T17:06:27+00:00,2024-06-05T17:05:27+00:00,BNK_c29d2722796e,,bank_statement,2024-06-05T17:04:57+00:00
295710,0bd6a319edb9e88b,{},bank,2024-06-03T23:55:55+00:00,ORD_000056_9364f3d0,2024-06-03T23:57:25+00:00,2024-06-03T23:56:25+00:00,BNK_d8306fcc57dd,,bank_statement,2024-06-03T23:55:55+00:00
112685,89e301d58c318dc8,"{'split_index': 0, 'n_splits': 2}",bank,2024-06-05T08:51:55+00:00,ORD_000047_5edb0d3c,2024-06-05T08:53:25+00:00,2024-06-05T08:52:25+00:00,BNK_a9ab1777e8cb,,bank_statement,2024-06-05T08:51:55+00:00
115754,23bedc6d0905b28f,"{'split_index': 1, 'n_splits': 2}",bank,2024-06-05T00:51:55+00:00,ORD_000047_5edb0d3c,2024-06-05T00:53:25+00:00,2024-06-05T00:52:25+00:00,BNK_a3b5a446be72,,bank_statement,2024-06-05T00:51:55+00:00
82367,cec313dc2448eabd,"{'split_index': 0, 'n_splits': 2}",bank,2024-06-04T05:47:24+00:00,ORD_000030_782a65e0,2024-06-04T05:48:54+00:00,2024-06-04T05:47:54+00:00,BNK_6a8ac3b290d0,,bank_statement,2024-06-04T05:47:24+00:00
185004,62f97eebedfb3223,"{'split_index': 1, 'n_splits': 2}",bank,2024-06-04T07:47:24+00:00,ORD_000030_782a65e0,2024-06-04T07:48:54+00:00,2024-06-04T07:47:54+00:00,BNK_ca6d989bc4da,,bank_statement,2024-06-04T07:47:24+00:00
406999,a81e0334bd3ad615,{},bank,2024-06-02T15:03:27+00:00,ORD_000016_dd463c09,2024-06-02T15:04:57+00:00,2024-06-02T15:03:57+00:00,BNK_1bc009cb3942,,bank_statement,2024-06-02T15:03:27+00:00
134976,7f53242b6f86499e,"{'split_index': 0, 'n_splits': 2}",bank,2024-06-03T17:22:18+00:00,ORD_000029_5a104129,2024-06-03T17:23:48+00:00,2024-06-03T17:22:48+00:00,BNK_039f4d6168bd,,bank_statement,2024-06-03T17:22:18+00:00
215727,3a13f323570c1cde,"{'split_index': 1, 'n_splits': 2}",bank,2024-06-04T10:22:18+00:00,ORD_000029_5a104129,2024-06-04T10:23:48+00:00,2024-06-04T10:22:48+00:00,BNK_206788bd13d1,,bank_statement,2024-06-04T10:22:18+00:00
315145,154e8ae883706335,{},bank,2024-06-03T12:28:27+00:00,ORD_000020_3eae0032,2024-06-03T12:29:57+00:00,2024-06-03T12:28:57+00:00,BNK_6cd6c7468f59,,bank_statement,2024-06-03T12:28:27+00:00
151635,e31f5577fc0b20eb,"{'split_index': 0, 'n_splits': 2}",bank,2024-06-03T09:48:16+00:00,ORD_000012_b41b3143,2024-06-03T09:49:46+00:00,2024-06-03T09:48:46+00:00,BNK_482145b89cd9,,bank_statement,2024-06-03T09:48:16+00:00
164859,416504594b883465,"{'split_index': 1, 'n_splits': 2}",bank,2024-06-04T00:48:16+00:00,ORD_000012_b41b3143,2024-06-04T00:49:46+00:00,2024-06-04T00:48:46+00:00,BNK_b7b535ebd32d,,bank_statement,2024-06-04T00:48:16+00:00
478639,75e37cc397e9388b,{},bank,2024-06-03T05:38:02+00:00,ORD_000009_63f2ae24,2024-06-03T05:39:32+00:00,2024-06-03T05:38:32+00:00,BNK_bc59944528c0,,bank_statement,2024-06-03T05:38:02+00:00
464699,8c16101e1d9c54b2,{},bank,2024-06-04T13:36:20+00:00,ORD_000054_530ac1c7,2024-06-04T13:37:50+00:00,2024-06-04T13:36:50+00:00,BNK_585d1d2324e6,,bank_statement,2024-06-04T13:36:20+00:00
77655,1362ab2bedcf8eb3,"{'split_index': 0, 'n_splits': 3}",bank,2024-06-05T07:56:37+00:00,ORD_000025_1d48a071,2024-06-05T07:58:07+00:00,2024-06-05T07:57:07+00:00,BNK_f54ae87466d7,,bank_statement,2024-06-16T10:00:00+00:00
64516,40e760440b3b361c,"{'split_index': 1, 'n_splits': 3}",bank,2024-06-04T22:56:37+00:00,ORD_000025_1d48a071,2024-06-04T22:58:07+00:00,2024-06-04T22:57:07+00:00,BNK_b70bf1043785,,bank_statement,2024-06-16T10:00:00+00:00
97351,2619b3fe76caa741,"{'split_index': 2, 'n_splits': 3}",bank,2024-06-04T16:56:37+00:00,ORD_000025_1d48a071,2024-06-04T16:58:07+00:00,2024-06-04T16:57:07+00:00,BNK_979313748146,,bank_statement,2024-06-16T10:00:00+00:00
18830,48955def6f363a5c,"{'split_index': 0, 'n_splits': 3}",bank,2024-06-04T15:13:30+00:00,ORD_000049_43ef2016,2024-06-04T15:15:00+00:00,2024-06-04T15:14:00+00:00,BNK_07f9f6ca6b8b,,bank_statement,2024-06-04T15:13:30+00:00
12322,4aa3d5cdf9ef6fca,"{'split_index': 1, 'n_splits': 3}",bank,2024-06-04T10:13:30+00:00,ORD_000049_43ef2016,2024-06-04T10:15:00+00:00,2024-06-04T10:14:00+00:00,BNK_66d0d8e88ebb,,bank_statement,2024-06-04T10:13:30+00:00
36805,a683063ca2f23abb,"{'split_index': 2, 'n_splits': 3}",bank,2024-06-04T08:13:30+00:00,ORD_000049_43ef2016,2024-06-04T08:15:00+00:00,2024-06-04T08:14:00+00:00,BNK_1ba3afa415e5,,bank_statement,2024-06-04T08:13:30+00:00
321122,501609f7eabd6a3a,{},bank,2024-06-04T11:05:21+00:00,ORD_000031_9efba58b,2024-06-04T11:06:51+00:00,2024-06-04T11:05:51+00:00,BNK_784c980402a2,,bank_statement,2024-06-04T11:05:21+00:00
58024,6139f48cbefe5c54,"{'split_index': 0, 'n_splits': 3}",bank,2024-06-04T00:51:25+00:00,ORD_000053_6dda4f8d,2024-06-04T00:52:55+00:00,2024-06-04T00:51:55+00:00,BNK_a217bdb025ff,,bank_statement,2024-06-04T00:51:25+00:00
55473,43f94f8322501217,"{'split_index': 1, 'n_splits': 3}",bank,2024-06-03T22:51:25+00:00,ORD_000053_6dda4f8d,2024-06-03T22:52:55+00:00,2024-06-03T22:51:55+00:00,BNK_87cdbf012e32,,bank_statement,2024-06-03T22:51:25+00:00
207291,221a507ff0392952,"{'split_index': 2, 'n_splits': 3}",bank,2024-06-04T02:51:25+00:00,ORD_000053_6dda4f8d,2024-06-04T02:52:55+00:00,2024-06-04T02:51:55+00:00,BNK_6b7a604e46cb,,bank_statement,2024-06-04T02:51:25+00:00
213303,8d148be557b5c9db,{},bank,2024-06-04T22:19:33+00:00,ORD_000051_e359eee1,2024-06-04T22:21:03+00:00,2024-06-04T22:20:03+00:00,BNK_15dad4ef00aa,,bank_statement,2024-06-04T22:19:33+00:00
203268,a35268a760069d1b,{},bank,2024-06-03T15:15:14+00:00,ORD_000035_52c21221,2024-06-03T15:16:44+00:00,2024-06-03T15:15:44+00:00,BNK_445d341c6494,,bank_statement,2024-06-03T15:15:14+00:00
